"no","id","from_id","from_name","created_time","created_time_str","year","month","day","created_time_num","weekday","message","type","likes_count","shares_count","like_share","max_evento_8046_DR","max_emisor","max_dia_8699_DR","max_dia_emisor","link"
"2619","113998707676_139560236216891","113998707676","José María Villalta Florez-Estrada","2013-03-18T21:04:09+0000","2013-03-18","2013","03","18","18/03/13","2","Continuamos luchando por el rescate y el fortalecimiento de la Caja Costarricense del Seguro Social, junto a las comunidades y movimientos sociales. Mañana nos vemos a las 10 de la mañana en el Parque de San Pedro de Montes de Oca.","link","184","19","203","2.5%","6.4%","2.3%","3.2%","https://www.facebook.com/events/495558237175299/"
"536","303450469784702_303459546450461","303450469784702","Dr. Rodolfo Hernández","2013-03-15T00:40:21+0000","2013-03-15","2013","03","15","15/03/13","6","¡Bienvenidos amigos y amigas!
Como sabrán el Dr Hernández hará oficial el anuncio de su Pre-candidatura en el Partido Unidad el día sábado a las 3pm en el INBioparque (actividad a la que están todos invitados). A través de esta página ustedes y él estarán en permanente contacto.
¡Costa Rica puede y merece estar mejor... todos con el doctor!","photo","144","59","203","2.5%","2.5%","2.3%","2.3%","https://www.facebook.com/photo.php?fbid=303459533117129&set=a.303459529783796.1073741828.303450469784702&type=1&relevant_count=1"
"431","303450469784702_320132981449784","303450469784702","Dr. Rodolfo Hernández","2013-04-20T00:50:26+0000","2013-04-20","2013","04","20","20/04/13","7","Quiero dar unas palabras para el gran atleta Nery Brenes quien ha ganado el Premio Claudia Poll 2011-2012. Nery es un ejemplo de esfuerzo individual, del que dignifica al ser humano. http://www.youtube.com/watch?v=D8kgZiuTabw","video","189","14","203","2.5%","2.5%","2.3%","2.3%","http://www.youtube.com/watch?v=D8kgZiuTabw"
"1272","69554133109_397612353632135","69554133109","Johnny Araya","2012-08-07T14:53:21+0000","2012-08-07","2012","08","07","07/08/12","3","Quiero darles las gracias por la confianza que me han brindado en la nueva encuesta  del CID/ Gallup, dónde nuevamente se me ubica en el primer lugar en la preferencia de los liberacionistas y de los costarricenses. Esto me compromete a continuar trabajando y a seguir buscando las mejores  soluciones para San José y para nuestro país.

Hemos iniciado con ilusión un movimiento político que busca abrir más espacios para el dialogo entre los diferentes actores sociales. Estoy convencido que la mayor fortaleza que debe tener un político es saber escuchar. Queremos una renovación en el liderazgo  del PLN y del país, que sea capaz de levantar con más fuerza las banderas sociales. http://www.repretel.com/seg%C3%BAn-encuesta-johnny-araya-atrae-votantes-j%C3%B3venes","link","188","15","203","2.5%","4.1%","2.3%","3.1%","http://www.repretel.com/según-encuesta-johnny-araya-atrae-votantes-jóvenes"
"562","69554133109_10151670481173110","69554133109","Johnny Araya","2013-08-17T02:26:41+0000","2013-08-17","2013","08","17","17/08/13","7","NA","photo","200","2","202","2.5%","4.1%","2.3%","3.1%","https://www.facebook.com/photo.php?fbid=10151670481103110&set=a.10150604526898110.396478.69554133109&type=1&relevant_count=1"
"2586","113998707676_10151414556747677","113998707676","José María Villalta Florez-Estrada","2013-04-24T17:46:45+0000","2013-04-24","2013","04","24","24/04/13","4","Buenos días. Comparto con ustedes esta información publicada por los amigos del Diario Digital Nuestro País sobre la demanda de Gas Z al Estado Costarricense. Desde el Frente Amplio, estamos convencidos de que tipo de demandas pueden multiplicarse con la aprobación más TLC, ya que la mayoría de éstos conllevan un capítulo de protección de inversiones con cláusulas que favorecen a las empresas multinacionales.
http://www.elpais.cr/frontend/noticia_detalle/1/80499","link","143","59","202","2.5%","6.4%","2.3%","3.2%","http://www.elpais.cr/frontend/noticia_detalle/1/80499"
"2749","113998707676_289445094490646","113998707676","José María Villalta Florez-Estrada","2012-10-09T02:38:41+0000","2012-10-09","2012","10","09","09/10/12","3","Mañana todxs contra el veto de la Presidenta. 
Nos vemos a las 9am en el Pretil de la UCR.","photo","164","38","202","2.5%","6.4%","2.3%","3.2%","https://www.facebook.com/photo.php?fbid=368896959861870&set=a.164810416937193.43096.142386395846262&type=1"
"2334","113998707676_10151643708057677","113998707676","José María Villalta Florez-Estrada","2013-08-31T18:08:46+0000","2013-08-31","2013","08","31","31/08/13","7","Estoy en la sesión del Consejo Consultivo de Sitrapequia con motivo de la celebración del Día del Afrocostarricense.","photo","199","2","201","2.5%","6.3%","2.3%","3.2%","https://www.facebook.com/photo.php?fbid=10151643705322677&set=a.10151630713317677.1073741827.113998707676&type=1&relevant_count=1"
"370","303450469784702_328907707238978","303450469784702","Dr. Rodolfo Hernández","2013-05-10T19:01:03+0000","2013-05-10","2013","05","10","10/05/13","6","Amigos y amigas de Cartago, les invito a que me acompañarme hoy en mi visita al Cantón Central, Estaré en el Salón Colonial del Centro Comercial El Dorado a las 6:00 p.m. Los espero para que compartamos nuestros proyectos para el futuro de Costa Rica","link","201","0","201","2.5%","2.5%","2.3%","2.3%","https://www.facebook.com/events/141025549418394/"
"2826","113998707676_10150863924877677","113998707676","José María Villalta Florez-Estrada","2012-06-01T00:25:29+0000","2012-06-01","2012","06","01","01/06/12","6","NA","photo","136","64","200","2.5%","6.3%","2.3%","3.2%","https://www.facebook.com/photo.php?fbid=10150863924827677&set=a.114646892676.102934.113998707676&type=1&relevant_count=1"
"2821","113998707676_10150875492897677","113998707676","José María Villalta Florez-Estrada","2012-06-05T20:39:47+0000","2012-06-05","2012","06","05","05/06/12","3","Hoy en el Día Mundial del Ambiente presentamos a la Asamblea, con el respaldo de 50 diputados y diputadas, una propuesta para que la Constitución Política reconozca el agua como un Derecho Humano. La Constitución tiene que proteger el agua y decir, como mínimo: 1) Que el acceso al agua potable y al saneamiento es un derecho humano fundamental. No una mercancía; y 2) Que el agua es un bien público, de uso colectivo, que no puede privatizarse. Si se aprueba este proyecto, nunca más tendremos comunidades con sed, mientras se llevan el agua para regar canchas de golf.","status","164","35","199","2.5%","6.3%","2.3%","3.1%","0"
